        datetime    open    high     low   close    MA20  ENE_UP  ENE_LOW     ENE  sell  buy   op  open_price  keep  cash_open  hold  avg_price  cash_left      val
1117  2019-04-01  10.100  10.150   9.900  10.150   6.756   8.827    7.236   8.032   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1118  2019-04-02  10.880  11.170  10.320  10.660   7.012   9.224    7.562   8.393   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1119  2019-04-03  10.360  11.730  10.280  11.730   7.319   9.774    8.013   8.893   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1120  2019-04-04  12.280  12.900  11.800  12.900   7.687  10.455    8.571   9.513   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1121  2019-04-08  13.500  14.190  13.260  14.190   8.143  11.268    9.237  10.253   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1122  2019-04-09  14.600  15.610  13.500  15.610   8.666  12.187    9.991  11.089   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1123  2019-04-10  15.930  17.170  14.850  16.440   9.231  13.117   10.753  11.935   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1124  2019-04-11  16.450  17.850  15.720  16.640   9.795  13.979   11.461  12.720   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1125  2019-04-12  16.600  16.900  14.980  14.980  10.262  14.711   12.060  13.386   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1126  2019-04-15  15.320  16.300  14.700  15.690  10.740  15.428   12.648  14.038   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1127  2019-04-16  15.370  17.260  14.900  17.260  11.281  16.217   13.295  14.756   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1128  2019-04-17  17.780  18.990  17.500  18.990  11.877  17.142   14.053  15.597   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1129  2019-04-18  19.780  20.890  18.330  20.230  12.549  18.085   14.827  16.456   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1130  2019-04-19  19.330  21.540  18.600  20.040  13.213  18.878   15.476  17.177   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1131  2019-04-22  19.610  20.120  18.330  18.600  13.800  19.367   15.878  17.622   0.0  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1132  2019-04-23  18.800  19.000  17.710  18.000  14.333  19.633   16.095  17.864   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1133  2019-04-24  18.210  18.690  17.460  18.290  14.845  19.838   16.264  18.051   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1134  2019-04-25  17.430  17.440  16.460  16.460  15.224  19.818   16.247  18.033   NaN  NaN  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1135  2019-04-26  16.110  16.990  15.800  16.060  15.608  19.938   16.345  18.142   NaN  1.0  NaN       5.700   1.0    30000.0     0      0.000    30000.0  30000.0
1136  2019-04-29  16.540  16.950  15.150  15.920  15.942  19.963   16.366  18.165   NaN  NaN  1.0      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1137  2019-04-30  15.200  15.690  14.720  15.170  16.193  19.731   16.176  17.954   NaN  NaN  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1138  2019-05-06  14.500  15.450  14.090  14.400  16.380  19.222   15.758  17.490   NaN  NaN  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1139  2019-05-07  14.610  15.840  14.500  15.560  16.572  18.704   15.334  17.019   NaN  1.0  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1140  2019-05-08  14.880  15.290  14.260  14.420  16.648  18.080   14.822  16.451   NaN  NaN  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1141  2019-05-09  13.990  14.850  13.990  14.080  16.642  17.578   14.411  15.994   NaN  NaN  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1142  2019-05-10  14.620  15.490  14.010  15.490  16.636  17.299   14.182  15.741   NaN  1.0  NaN      16.540   1.0    30000.0     0      0.000    30000.0  30000.0
1143  2019-05-13  15.590  16.250  15.200  15.630  16.596  17.004   13.940  15.472   NaN  1.0  1.0      15.590   1.0    30000.0     0      0.000    30000.0  30000.0
1144  2019-05-14  15.100  15.550  14.900  15.130  16.520  16.856   13.819  15.338   NaN  NaN  NaN      15.590   1.0    30000.0     0      0.000    30000.0  30000.0
1145  2019-05-15  15.310  16.640  15.220  16.640  16.603  16.921   13.872  15.396   NaN  1.0  NaN      15.590   1.0    30000.0     0      0.000    30000.0  30000.0
1146  2019-05-16  17.070  17.070  15.520  15.730  16.605  16.900   13.855  15.377   NaN  NaN  1.0      17.070   1.0    30000.0     0      0.000    30000.0  30000.0
1147  2019-05-17  15.370  15.430  14.160  14.350  16.460  16.809   13.780  15.294   NaN  NaN  NaN      17.070   1.0    30000.0     0      0.000    30000.0  30000.0
1148  2019-05-20  13.790  13.850  12.920  12.920  16.156  16.644   13.645  15.145   NaN  NaN  NaN      17.070   1.0    30000.0     0      0.000    30000.0  30000.0
1149  2019-05-21  13.050  13.650  12.900  13.320  15.811  16.396   13.442  14.919   NaN  NaN  NaN      17.070   1.0    30000.0     0      0.000    30000.0  30000.0
1150  2019-05-22  13.280  13.880  13.210  13.410  15.479  16.284   13.350  14.817   NaN  1.0  NaN      17.070   1.0    30000.0     0      0.000    30000.0  30000.0
1151  2019-05-23  13.220  13.820  12.950  13.300  15.214  16.197   13.279  14.738   NaN  NaN  1.0      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1152  2019-05-24  13.340  13.990  13.090  13.510  14.990  15.977   13.099  14.538   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1153  2019-05-27  13.200  13.790  12.620  13.690  14.760  15.762   12.922  14.342   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1154  2019-05-28  13.420  13.990  13.380  13.520  14.613  15.583   12.775  14.179   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1155  2019-05-29  13.410  13.650  12.970  13.030  14.461  15.183   12.447  13.815   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1156  2019-05-30  13.100  13.490  12.770  13.190  14.325  14.901   12.216  13.558   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1157  2019-05-31  13.060  13.100  12.440  12.540  14.193  14.700   12.051  13.375   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1158  2019-06-03  11.660  11.870  11.290  11.290  14.038  14.519   11.903  13.211   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1159  2019-06-04  10.570  10.950  10.360  10.830  13.801  14.242   11.676  12.959   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1160  2019-06-05  10.950  10.980  10.120  10.160  13.588  13.882   11.380  12.631   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1161  2019-06-06  10.280  10.840   9.960  10.470  13.408  13.568   11.123  12.345   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1162  2019-06-10  10.540  10.590   9.960  10.270  13.147  13.208   10.828  12.018   NaN  NaN  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1163  2019-06-11  10.300  11.180  10.120  10.870  12.909  12.895   10.571  11.733   NaN  1.0  NaN      13.220   1.0    30000.0     0      0.000    30000.0  30000.0
1164  2019-06-12  10.700  10.830  10.050  10.200  12.662  12.526   10.269  11.398   NaN  NaN  1.0      10.700   1.0    30000.0     0      0.000    30000.0  30000.0
1165  2019-06-13  10.360  11.220  10.260  11.220  12.391  12.325   10.105  11.215   NaN  1.0  NaN      10.700   1.0    30000.0     0      0.000    30000.0  30000.0
1166  2019-06-14  11.500  11.670  10.560  10.650  12.137  12.044    9.874  10.958   NaN  NaN  1.0      11.500   1.0    30000.0     0      0.000    30000.0  30000.0
1167  2019-06-17  10.250  10.380  10.000  10.120  11.926  11.775    9.653  10.714   NaN  NaN  NaN      11.500   1.0    30000.0     0      0.000    30000.0  30000.0
1168  2019-06-18  10.150  10.350  10.000  10.180  11.789  11.652    9.552  10.602   NaN  NaN  NaN      11.500   1.0    30000.0     0      0.000    30000.0  30000.0
